,Vendor,Type_of_Spend,Brand,PO_Number,PO_Amount,Invoice_Amount,Difference,Date_Opened
187,Pinterest Inc,Media Supported Asset,Space Wars,34430765,97569,72191,25378,2022-09-03
1791,TikTok Inc,Brand Publicity,Space Wars,29657082,97568,2063,95505,2022-11-16
4311,KYG Antler LLC,Influencer,Space Wars,61871852,97539,4130,93409,2022-06-10
3707,Disney Studios,E-Commerce,Clay-Dough,82823239,97524,33779,63745,2022-10-10
332,TikTok Inc,Brand Publicity,Merf,73684277,97505,31146,66359,2022-06-27
1789,The Martingale Agency,Brand Publicity,Clay-Dough,76712570,97497,31841,65656,2022-12-09
1906,TikTok Inc,Media Supported Asset,Clay-Dough,83013014,97446,33089,64357,2022-03-03
781,TikTok Inc,Media Supported Asset,Clay-Dough,48694256,97444,58031,39413,2022-09-17
4057,KYG Antler LLC,Brand Publicity,Clay-Dough,11367326,97427,42100,55327,2022-01-24
998,Meta Platforms,Media Supported Asset,Clay-Dough,90093430,97424,55803,41621,2022-08-06
1069,Meta Platforms,Brand Asset Development,Merf,47439070,97414,85337,12077,2022-04-13
3692,Pinterest Inc,E-Commerce,Clay-Dough,68251449,97409,93890,3519,2022-05-27
4206,Google Inc.,E-Commerce,Clay-Dough,19338443,97400,2940,94460,2022-05-19
269,Disney Studios,Brand Publicity,Space Wars,52968127,97385,73249,24136,2022-02-12
3178,Pinterest Inc,Brand Asset Development,Merf,62419276,97344,1535,95809,2022-03-25
183,Google Inc.,Media Supported Asset,Transmorphers,30066909,97340,67631,29709,2022-06-09
3250,Meta Platforms,Brand Publicity,Clay-Dough,61682724,97332,19060,78272,2022-10-21
3693,The Martingale Agency,E-Commerce,GI-Bro,21207853,97306,28076,69230,2022-08-31
1737,Nintendo Technologies,Media Supported Asset,Transmorphers,18208702,97212,38834,58378,2022-05-18
2956,Nintendo Technologies,Brand Asset Development,Clay-Dough,94946024,97104,49167,47937,2022-06-02
2483,Nintendo Technologies,Brand Publicity,Space Wars,23075556,97056,94453,2603,2022-03-01
4534,The Martingale Agency,Influencer,GI-Bro,42550713,97034,51794,45240,2022-02-02
914,Disney Studios,Media Supported Asset,Space Wars,87809294,96998,4173,92825,2022-11-17
3738,Disney Studios,Media Supported Asset,Transmorphers,96355611,96948,11792,85156,2022-12-20
4165,Google Inc.,Brand Asset Development,Transmorphers,38006757,96888,58464,38424,2022-08-28
2978,Nintendo Technologies,Influencer,Clay-Dough,53442189,96862,3857,93005,2022-11-06
307,Google Inc.,E-Commerce,Merf,31794593,96853,87125,9728,2022-03-19
322,Disney Studios,Brand Publicity,Transmorphers,69227721,96835,9171,87664,2022-05-24
796,Nintendo Technologies,Brand Publicity,Transmorphers,34633059,96828,1412,95416,2022-02-21
1696,Nintendo Technologies,Brand Publicity,Merf,29979174,96818,6462,90356,2022-01-04
1846,Disney Studios,Media Supported Asset,GI-Bro,88296996,96811,30035,66776,2022-09-10
3817,Pinterest Inc,Media Supported Asset,Clay-Dough,30336205,96810,31072,65738,2022-03-28
3211,Nintendo Technologies,Brand Asset Development,Merf,51177452,96793,74784,22009,2022-01-06
1793,Nintendo Technologies,E-Commerce,Space Wars,14099834,96736,84654,12082,2022-01-07
2681,KYG Antler LLC,Brand Asset Development,Space Wars,90064683,96726,82953,13773,2022-04-12
2258,Pinterest Inc,Brand Asset Development,GI-Bro,59449480,96724,42470,54254,2022-01-03
535,Pinterest Inc,E-Commerce,Space Wars,94601487,96723,16902,79821,2022-11-27
2596,Disney Studios,E-Commerce,GI-Bro,26947893,96717,35459,61258,2022-10-25
2275,Google Inc.,Brand Publicity,Merf,56434595,96702,41464,55238,2022-12-22
2077,The Martingale Agency,Influencer,GI-Bro,62866469,96698,44140,52558,2022-08-17
3559,The Martingale Agency,Media Supported Asset,Space Wars,24077249,96673,21589,75084,2022-08-07
3460,Google Inc.,Brand Asset Development,Transmorphers,44702391,96666,53573,43093,2022-08-19
2912,Google Inc.,Brand Asset Development,GI-Bro,13355576,96655,13847,82808,2022-11-06
1526,KYG Antler LLC,Influencer,Clay-Dough,83727572,96635,25369,71266,2022-08-25
304,Pinterest Inc,Media Supported Asset,Merf,77989096,96620,51269,45351,2022-02-16
1617,Nintendo Technologies,Influencer,GI-Bro,73835290,96506,62389,34117,2022-05-09
916,Meta Platforms,E-Commerce,Clay-Dough,97429037,96501,3531,92970,2022-10-31
2299,Pinterest Inc,E-Commerce,GI-Bro,18995777,96485,63815,32670,2022-07-27
4067,KYG Antler LLC,E-Commerce,Transmorphers,86011432,96471,39087,57384,2022-11-13
2962,Google Inc.,Media Supported Asset,Space Wars,75654558,96461,35371,61090,2022-12-16
1314,KYG Antler LLC,E-Commerce,Clay-Dough,45470631,96417,15225,81192,2022-11-17
4991,Nintendo Technologies,Media Supported Asset,GI-Bro,70016991,96382,10333,86049,2022-06-29
2715,TikTok Inc,Media Supported Asset,GI-Bro,48079465,96360,75523,20837,2022-02-14
3352,TikTok Inc,Brand Publicity,Transmorphers,47972551,96333,1583,94750,2022-05-28
3307,Pinterest Inc,Brand Asset Development,Merf,92562444,96328,34231,62097,2022-05-07
1817,The Martingale Agency,Brand Asset Development,Clay-Dough,46617293,96317,9577,86740,2022-09-13
2838,Disney Studios,Influencer,Transmorphers,13751066,96313,42324,53989,2022-12-04
3953,TikTok Inc,Media Supported Asset,Space Wars,47433825,96303,20966,75337,2022-06-06
485,Pinterest Inc,Brand Publicity,Merf,35329260,96261,14382,81879,2022-09-14
2171,Pinterest Inc,Brand Asset Development,Clay-Dough,58105168,96209,35871,60338,2022-10-03
2186,The Martingale Agency,Brand Publicity,GI-Bro,66346593,96195,63110,33085,2022-08-18
4623,Meta Platforms,Brand Publicity,Clay-Dough,16066842,96170,31879,64291,2022-12-16
3261,Meta Platforms,Media Supported Asset,Merf,22662602,96168,14464,81704,2022-10-06
296,The Martingale Agency,Influencer,Transmorphers,63136045,96141,45083,51058,2022-07-22
715,The Martingale Agency,Brand Asset Development,GI-Bro,85513825,96117,25066,71051,2022-09-29
1525,Disney Studios,Brand Asset Development,Merf,82378912,96116,90692,5424,2022-04-06
3881,TikTok Inc,Brand Publicity,Space Wars,36209751,96113,5968,90145,2022-05-08
2939,TikTok Inc,E-Commerce,Transmorphers,12707700,96111,91450,4661,2022-03-31
1723,Nintendo Technologies,Brand Publicity,Transmorphers,64197451,96046,19287,76759,2022-12-05
826,The Martingale Agency,Brand Asset Development,Transmorphers,82119389,95993,14236,81757,2022-02-24
1586,Meta Platforms,Influencer,Merf,91012226,95980,11485,84495,2022-02-26
4917,Nintendo Technologies,Brand Asset Development,Clay-Dough,65853292,95969,39408,56561,2022-11-16
4781,KYG Antler LLC,Influencer,Clay-Dough,21895536,95935,15707,80228,2022-07-21
1065,Meta Platforms,Brand Asset Development,GI-Bro,14922228,95916,36496,59420,2022-12-05
3787,Nintendo Technologies,Influencer,Merf,95684269,95913,29217,66696,2022-11-07
2076,KYG Antler LLC,E-Commerce,Merf,18672480,95908,38710,57198,2022-12-13
4859,Nintendo Technologies,Brand Publicity,Space Wars,82257968,95896,49110,46786,2022-04-11
2728,Disney Studios,Brand Publicity,Merf,68378999,95885,41485,54400,2022-03-01
2456,Pinterest Inc,Influencer,GI-Bro,32576345,95857,44292,51565,2022-01-22
1212,Pinterest Inc,Media Supported Asset,Clay-Dough,35591228,95856,42371,53485,2022-02-16
2574,KYG Antler LLC,Brand Publicity,GI-Bro,36002872,95839,68887,26952,2022-06-30
1724,Meta Platforms,Media Supported Asset,Merf,53263948,95832,39513,56319,2022-12-26
3949,TikTok Inc,Brand Publicity,GI-Bro,95852590,95803,12904,82899,2022-11-18
2679,Pinterest Inc,E-Commerce,GI-Bro,67394944,95745,8204,87541,2022-04-29
1243,Pinterest Inc,Influencer,Merf,61140296,95723,43771,51952,2022-07-24
3156,The Martingale Agency,Brand Asset Development,GI-Bro,11505081,95719,56577,39142,2022-01-22
294,Nintendo Technologies,E-Commerce,Space Wars,28171828,95695,64037,31658,2022-09-26
4016,Nintendo Technologies,E-Commerce,GI-Bro,17407959,95658,10651,85007,2022-08-31
4915,KYG Antler LLC,E-Commerce,Transmorphers,47174413,95611,90792,4819,2022-05-05
4829,Disney Studios,Media Supported Asset,Transmorphers,74238351,95607,32341,63266,2022-11-19
4549,The Martingale Agency,Brand Asset Development,Clay-Dough,25205008,95601,20960,74641,2022-07-30
478,Pinterest Inc,Media Supported Asset,Space Wars,44837439,95599,69515,26084,2022-09-24
69,TikTok Inc,Brand Asset Development,Clay-Dough,32779021,95597,51473,44124,2022-02-17
2127,TikTok Inc,Influencer,Space Wars,68771548,95543,43780,51763,2022-07-06
3471,Pinterest Inc,Media Supported Asset,Transmorphers,27657369,95502,82709,12793,2022-03-02
1881,KYG Antler LLC,Brand Publicity,Transmorphers,65456259,95495,18542,76953,2022-02-26
1392,Meta Platforms,Brand Publicity,GI-Bro,53176560,95462,44932,50530,2022-05-17
886,Pinterest Inc,Brand Publicity,GI-Bro,95137405,95421,41987,53434,2022-12-24
471,Disney Studios,E-Commerce,Clay-Dough,68270648,95382,4532,90850,2022-10-10
3066,The Martingale Agency,Brand Publicity,Space Wars,20536590,95347,32181,63166,2022-09-10
4805,The Martingale Agency,E-Commerce,Clay-Dough,42743184,95332,51315,44017,2022-08-11
1722,KYG Antler LLC,E-Commerce,Clay-Dough,53490548,95317,61656,33661,2022-01-12
4199,The Martingale Agency,Brand Publicity,GI-Bro,56139180,95242,86649,8593,2022-01-03
4930,Pinterest Inc,E-Commerce,GI-Bro,78299119,95222,44958,50264,2022-06-28
2812,KYG Antler LLC,Influencer,Space Wars,45047132,95203,64093,31110,2022-04-21
1775,Nintendo Technologies,Influencer,Space Wars,65801772,95197,48218,46979,2022-06-12
9,Google Inc.,Brand Asset Development,Transmorphers,68631545,95129,1109,94020,2022-01-29
4073,Google Inc.,Brand Publicity,Space Wars,78598400,95120,37508,57612,2022-07-29
3345,The Martingale Agency,Influencer,GI-Bro,65621643,95075,61637,33438,2022-02-04
1509,TikTok Inc,Media Supported Asset,GI-Bro,68379051,95072,37482,57590,2022-12-26
978,Nintendo Technologies,E-Commerce,Space Wars,13832841,95038,5546,89492,2022-11-02
4007,The Martingale Agency,Brand Publicity,GI-Bro,33757015,95032,5221,89811,2022-08-02
2994,KYG Antler LLC,Brand Publicity,Merf,10220377,95027,75092,19935,2022-02-04
3825,TikTok Inc,Influencer,Transmorphers,10476425,95006,33015,61991,2022-11-25
3643,The Martingale Agency,Brand Asset Development,Transmorphers,71358338,94930,14381,80549,2022-11-26
2878,Google Inc.,Brand Asset Development,Space Wars,27706253,94919,61147,33772,2022-06-28
714,KYG Antler LLC,Influencer,Clay-Dough,51609600,94917,10093,84824,2022-12-10
4749,Pinterest Inc,Brand Publicity,Transmorphers,48444197,94899,61520,33379,2022-07-03
2376,TikTok Inc,Brand Asset Development,Space Wars,99790811,94874,6969,87905,2022-03-06
3593,Meta Platforms,Media Supported Asset,Clay-Dough,93599477,94861,72199,22662,2022-05-31
1102,TikTok Inc,Brand Publicity,GI-Bro,25484845,94859,33924,60935,2022-08-22
2932,Google Inc.,Brand Publicity,Merf,63823447,94823,811,94012,2022-07-30
3581,KYG Antler LLC,E-Commerce,Transmorphers,63485117,94803,42102,52701,2022-05-16
2085,Disney Studios,Media Supported Asset,Space Wars,63764208,94796,35577,59219,2022-07-18
4584,TikTok Inc,Media Supported Asset,GI-Bro,52123602,94743,22398,72345,2022-10-05
2298,Meta Platforms,Brand Asset Development,Merf,55973773,94742,35837,58905,2022-06-06
4391,The Martingale Agency,Influencer,Merf,40822769,94740,83534,11206,2022-06-24
1784,Google Inc.,E-Commerce,Space Wars,85279177,94696,63962,30734,2022-05-11
1518,The Martingale Agency,Media Supported Asset,GI-Bro,64834300,94690,8205,86485,2022-08-27
3497,Nintendo Technologies,E-Commerce,Merf,70918460,94689,26768,67921,2022-07-17
4056,Disney Studios,Brand Publicity,Merf,38534013,94679,63048,31631,2022-05-09
626,Nintendo Technologies,Influencer,Space Wars,58894769,94673,18011,76662,2022-10-06
1281,Meta Platforms,Media Supported Asset,Transmorphers,52902181,94668,41889,52779,2022-10-06
1342,Disney Studios,E-Commerce,Merf,23868716,94663,13007,81656,2022-12-23
2315,Google Inc.,Brand Publicity,Merf,99005608,94631,32703,61928,2022-06-28
3998,Meta Platforms,Brand Publicity,Space Wars,49124161,94619,65331,29288,2022-03-08
1534,KYG Antler LLC,E-Commerce,GI-Bro,11758787,94614,82785,11829,2022-03-07
2990,TikTok Inc,Brand Asset Development,Merf,22703810,94610,1966,92644,2022-04-27
37,The Martingale Agency,Influencer,Space Wars,99398671,94607,28080,66527,2022-12-01
320,Meta Platforms,Media Supported Asset,Transmorphers,85936293,94604,49491,45113,2022-05-30
937,The Martingale Agency,Brand Asset Development,Clay-Dough,73548326,94604,730,93874,2022-08-09
3801,The Martingale Agency,Brand Publicity,Clay-Dough,14455174,94594,60363,34231,2022-08-20
4732,KYG Antler LLC,Brand Publicity,Clay-Dough,31106460,94540,58043,36497,2022-02-21
1471,The Martingale Agency,E-Commerce,Transmorphers,49594036,94511,17571,76940,2022-04-07
4787,Meta Platforms,Media Supported Asset,Clay-Dough,47973486,94503,92159,2344,2022-04-18
1637,KYG Antler LLC,Influencer,Space Wars,84048261,94500,59782,34718,2022-08-14
1199,Meta Platforms,Brand Publicity,Clay-Dough,68041003,94492,67019,27473,2022-09-11
4477,Pinterest Inc,Brand Publicity,Clay-Dough,48877416,94491,8330,86161,2022-07-06
392,Pinterest Inc,Brand Asset Development,Merf,36950394,94488,21330,73158,2022-10-23
3928,TikTok Inc,Brand Asset Development,GI-Bro,70739167,94462,57053,37409,2022-06-28
3650,Google Inc.,E-Commerce,Clay-Dough,24490843,94449,13785,80664,2022-05-06
718,KYG Antler LLC,Influencer,Space Wars,99459492,94416,32535,61881,2022-05-26
723,The Martingale Agency,E-Commerce,Clay-Dough,31969741,94404,19093,75311,2022-07-04
3627,Meta Platforms,Brand Asset Development,Merf,60270519,94394,16337,78057,2022-01-14
928,Meta Platforms,Brand Asset Development,Clay-Dough,76134609,94340,82214,12126,2022-01-13
2525,Disney Studios,Brand Publicity,GI-Bro,15900065,94325,6593,87732,2022-12-02
536,TikTok Inc,Media Supported Asset,Merf,26120879,94317,36978,57339,2022-11-26
3023,The Martingale Agency,Brand Publicity,Transmorphers,42892804,94294,9809,84485,2022-10-22
3132,Disney Studios,Brand Publicity,Merf,96125132,94255,62511,31744,2022-01-05
828,Disney Studios,Brand Publicity,Clay-Dough,35185959,94200,50314,43886,2022-05-11
2643,The Martingale Agency,Media Supported Asset,Clay-Dough,72060116,94150,41221,52929,2022-03-09
1376,Disney Studios,Influencer,Merf,29295478,94149,34271,59878,2022-10-04
2753,Nintendo Technologies,E-Commerce,Transmorphers,50848840,94143,51185,42958,2022-02-19
2613,Meta Platforms,Media Supported Asset,GI-Bro,82470078,94123,867,93256,2022-02-04
2980,Disney Studios,Influencer,Transmorphers,73483919,94093,78647,15446,2022-04-20
4648,Nintendo Technologies,Media Supported Asset,Merf,24875040,94077,776,93301,2022-06-19
3893,The Martingale Agency,Influencer,Transmorphers,50339901,94068,76624,17444,2022-05-11
1207,Pinterest Inc,Brand Asset Development,Transmorphers,89125316,94044,37881,56163,2022-09-12
2199,Meta Platforms,Brand Asset Development,GI-Bro,24485741,94019,39734,54285,2022-12-24
2192,Meta Platforms,E-Commerce,Merf,94125919,93966,24838,69128,2022-03-06
3465,Nintendo Technologies,E-Commerce,Merf,45606203,93925,81748,12177,2022-03-20
2577,Google Inc.,Media Supported Asset,Transmorphers,78923813,93888,31440,62448,2022-12-23
4566,Pinterest Inc,E-Commerce,GI-Bro,61446438,93879,40621,53258,2022-11-11
1777,TikTok Inc,Brand Publicity,Merf,54403844,93869,74559,19310,2022-01-10
4759,Nintendo Technologies,Brand Publicity,GI-Bro,61235541,93854,7396,86458,2022-12-05
976,The Martingale Agency,Brand Asset Development,Clay-Dough,48947147,93830,34621,59209,2022-08-02
3259,The Martingale Agency,Influencer,Space Wars,73459583,93804,34812,58992,2022-10-15
1578,The Martingale Agency,Media Supported Asset,Clay-Dough,57751565,93791,19211,74580,2022-01-04
2123,Disney Studios,Brand Asset Development,GI-Bro,70104426,93757,68524,25233,2022-09-23
3407,Google Inc.,Influencer,Transmorphers,47847385,93713,29482,64231,2022-11-29
1755,Google Inc.,Brand Asset Development,GI-Bro,53119870,93709,28663,65046,2022-05-24
3094,TikTok Inc,Media Supported Asset,Merf,76660211,93702,7469,86233,2022-01-15
2658,Meta Platforms,Brand Publicity,Space Wars,35399398,93700,24896,68804,2022-07-28
10,Meta Platforms,Media Supported Asset,Transmorphers,20614553,93664,81619,12045,2022-02-19
4443,Pinterest Inc,Influencer,Clay-Dough,75225943,93635,41291,52344,2022-08-20
3897,Pinterest Inc,E-Commerce,Space Wars,10367076,93623,41666,51957,2022-03-18
1388,The Martingale Agency,Brand Asset Development,Merf,82358576,93595,15850,77745,2022-08-12
1092,The Martingale Agency,Brand Asset Development,Space Wars,29895129,93556,59763,33793,2022-04-20
4331,Pinterest Inc,Influencer,GI-Bro,75153334,93555,35300,58255,2022-11-14
4969,TikTok Inc,Media Supported Asset,Transmorphers,98189361,93546,17541,76005,2022-07-22
901,Disney Studios,Brand Publicity,Clay-Dough,70386768,93542,74305,19237,2022-02-12
1504,TikTok Inc,Brand Publicity,Transmorphers,63143740,93533,2956,90577,2022-08-10
4330,Nintendo Technologies,Influencer,Transmorphers,32198888,93532,8244,85288,2022-06-27
234,The Martingale Agency,E-Commerce,Clay-Dough,62311311,93531,13106,80425,2022-11-02
627,Meta Platforms,Brand Asset Development,Space Wars,99665546,93526,68797,24729,2022-06-16
3816,Nintendo Technologies,Media Supported Asset,GI-Bro,89601964,93501,59660,33841,2022-02-23
1162,Disney Studios,E-Commerce,Space Wars,39400037,93487,2921,90566,2022-09-22
1320,KYG Antler LLC,Media Supported Asset,Clay-Dough,98023504,93478,805,92673,2022-11-28
4378,TikTok Inc,E-Commerce,Transmorphers,58644321,93463,64955,28508,2022-05-10
3392,The Martingale Agency,Brand Publicity,Transmorphers,53390791,93463,12317,81146,2022-07-14
1786,Meta Platforms,Influencer,Space Wars,93627325,93452,19933,73519,2022-03-07
3372,Nintendo Technologies,E-Commerce,GI-Bro,57731244,93450,11800,81650,2022-08-01
1468,Disney Studios,Influencer,Transmorphers,20446346,93444,45004,48440,2022-05-11
497,The Martingale Agency,E-Commerce,Merf,37641786,93417,36802,56615,2022-11-01
2157,Disney Studios,Media Supported Asset,GI-Bro,18702060,93414,37253,56161,2022-08-30
737,TikTok Inc,Media Supported Asset,GI-Bro,31022903,93378,61622,31756,2022-07-25
93,Meta Platforms,Media Supported Asset,GI-Bro,89342102,93340,26401,66939,2022-10-14
4979,Disney Studios,Influencer,Transmorphers,65512470,93335,57465,35870,2022-07-09
4486,Google Inc.,Brand Publicity,GI-Bro,30627656,93332,61921,31411,2022-09-15
3925,Pinterest Inc,Brand Publicity,Clay-Dough,69476308,93304,39082,54222,2022-08-27
2600,TikTok Inc,Brand Publicity,Clay-Dough,86218712,93238,38478,54760,2022-04-08
2394,TikTok Inc,Media Supported Asset,Merf,72296988,93236,62941,30295,2022-02-21
1135,Meta Platforms,Brand Asset Development,Clay-Dough,81863285,93224,88227,4997,2022-05-10
3990,Meta Platforms,E-Commerce,Merf,48778956,93162,9782,83380,2022-12-15
1867,Nintendo Technologies,Media Supported Asset,Merf,42873656,93147,75129,18018,2022-05-25
4149,Google Inc.,Influencer,Transmorphers,82092631,93141,35871,57270,2022-12-23
229,Disney Studios,Brand Asset Development,GI-Bro,71400966,93137,40556,52581,2022-06-12
3555,KYG Antler LLC,Influencer,Clay-Dough,16529278,93130,5281,87849,2022-07-08
4555,Meta Platforms,Media Supported Asset,Space Wars,98838402,93129,91524,1605,2022-05-29
3000,Meta Platforms,Media Supported Asset,Transmorphers,12288428,93129,40769,52360,2022-10-16
3756,Google Inc.,Media Supported Asset,Space Wars,22638232,93127,69532,23595,2022-04-05
4231,Google Inc.,Influencer,Clay-Dough,75455295,93121,54422,38699,2022-07-12
3396,TikTok Inc,Brand Asset Development,Clay-Dough,40023816,93114,45098,48016,2022-05-10
2118,Pinterest Inc,Media Supported Asset,Space Wars,44994149,93112,53342,39770,2022-07-16
4653,Disney Studios,Influencer,Merf,31965265,93097,43908,49189,2022-01-22
2280,The Martingale Agency,Brand Asset Development,Space Wars,76778456,93088,70224,22864,2022-05-29
1262,Pinterest Inc,Brand Publicity,Clay-Dough,52566244,93085,29470,63615,2022-06-25
2215,KYG Antler LLC,Media Supported Asset,Merf,53067787,93051,34563,58488,2022-10-10
2999,Nintendo Technologies,Media Supported Asset,GI-Bro,53283719,93046,14756,78290,2022-10-19
3567,Pinterest Inc,E-Commerce,GI-Bro,64410061,93004,21823,71181,2022-02-18
1834,Google Inc.,Influencer,Clay-Dough,71384346,92993,31473,61520,2022-12-17
1030,Meta Platforms,Brand Asset Development,Transmorphers,61044602,92992,42183,50809,2022-03-18
3445,Disney Studios,Brand Asset Development,GI-Bro,12557197,92991,5049,87942,2022-11-04
1434,Nintendo Technologies,Brand Asset Development,GI-Bro,93219929,92916,9530,83386,2022-12-13
3551,KYG Antler LLC,Brand Publicity,Merf,11203460,92863,66571,26292,2022-04-17
297,The Martingale Agency,Brand Asset Development,Clay-Dough,47623859,92849,4326,88523,2022-09-15
853,The Martingale Agency,Brand Asset Development,Space Wars,68435802,92838,44270,48568,2022-03-02
3759,The Martingale Agency,Brand Asset Development,GI-Bro,88016229,92825,6272,86553,2022-04-19
2733,Google Inc.,Influencer,GI-Bro,15770526,92811,51178,41633,2022-02-23
4128,Google Inc.,Influencer,GI-Bro,49845930,92808,7537,85271,2022-12-15
118,KYG Antler LLC,Brand Publicity,Space Wars,17848186,92790,42030,50760,2022-07-25
4302,Disney Studios,Brand Publicity,GI-Bro,19434236,92785,72219,20566,2022-05-09
4498,KYG Antler LLC,E-Commerce,Space Wars,55990870,92778,30367,62411,2022-03-13
3205,Meta Platforms,Brand Publicity,Merf,83439556,92716,32512,60204,2022-08-16
3461,Google Inc.,Media Supported Asset,GI-Bro,82516187,92704,40274,52430,2022-08-08
227,Pinterest Inc,Brand Asset Development,GI-Bro,93764811,92701,24106,68595,2022-02-12
2214,Pinterest Inc,E-Commerce,Clay-Dough,45643722,92668,34295,58373,2022-04-25
944,TikTok Inc,Media Supported Asset,Space Wars,33418253,92627,9064,83563,2022-02-20
4612,KYG Antler LLC,Brand Publicity,Space Wars,10083268,92588,40763,51825,2022-09-09
3748,KYG Antler LLC,Brand Asset Development,Merf,43253057,92586,788,91798,2022-08-19
4242,Nintendo Technologies,Brand Asset Development,Merf,10724831,92574,14971,77603,2022-11-15
3651,Google Inc.,Brand Publicity,Merf,31766699,92573,9028,83545,2022-10-03
4400,Google Inc.,Influencer,Merf,49013259,92567,8369,84198,2022-07-23
1321,Meta Platforms,Brand Asset Development,GI-Bro,55909336,92540,15745,76795,2022-03-23
2370,KYG Antler LLC,Brand Publicity,Transmorphers,99759658,92518,32617,59901,2022-05-07
2263,TikTok Inc,Brand Publicity,Clay-Dough,78233299,92514,89587,2927,2022-06-08
86,Google Inc.,Influencer,GI-Bro,18299124,92511,60673,31838,2022-05-19
1954,Disney Studios,E-Commerce,Transmorphers,21197052,92509,28552,63957,2022-06-18
4380,The Martingale Agency,Brand Publicity,GI-Bro,98862986,92424,11673,80751,2022-03-28
2726,Google Inc.,Brand Publicity,Merf,97729586,92408,37609,54799,2022-08-09
3779,TikTok Inc,E-Commerce,Space Wars,17194930,92377,5621,86756,2022-11-25
56,Pinterest Inc,Brand Publicity,Space Wars,61787525,92369,42946,49423,2022-08-01
1109,Google Inc.,Influencer,Merf,13435666,92355,23162,69193,2022-01-13
1130,Nintendo Technologies,Brand Asset Development,Space Wars,51087653,92282,6608,85674,2022-12-15
2148,Nintendo Technologies,Brand Asset Development,GI-Bro,58804053,92270,45638,46632,2022-07-19
1316,The Martingale Agency,E-Commerce,Clay-Dough,86268450,92257,15072,77185,2022-10-31
4444,The Martingale Agency,Brand Asset Development,GI-Bro,44066931,92240,12752,79488,2022-11-20
2727,Meta Platforms,Media Supported Asset,Transmorphers,67988559,92216,57846,34370,2022-09-08
2722,TikTok Inc,E-Commerce,Merf,26576540,92182,8032,84150,2022-11-29
3679,KYG Antler LLC,Brand Asset Development,Transmorphers,51755878,92175,17456,74719,2022-10-13
4776,Meta Platforms,Influencer,Transmorphers,94644825,92064,35378,56686,2022-08-18
251,KYG Antler LLC,E-Commerce,Clay-Dough,36919248,92038,57739,34299,2022-08-21
68,TikTok Inc,E-Commerce,Merf,73131427,92035,26093,65942,2022-12-11
1810,TikTok Inc,Media Supported Asset,GI-Bro,30704468,92017,7585,84432,2022-08-06
3999,Meta Platforms,Media Supported Asset,GI-Bro,87955967,92007,26286,65721,2022-03-12
1871,Pinterest Inc,Brand Asset Development,GI-Bro,30174593,92002,5656,86346,2022-03-29
1457,TikTok Inc,Brand Publicity,Transmorphers,66971945,91953,49624,42329,2022-07-28
4955,Disney Studios,Media Supported Asset,Transmorphers,12300509,91941,19461,72480,2022-02-03
1967,Meta Platforms,Brand Publicity,Merf,93698585,91891,86359,5532,2022-02-10
862,KYG Antler LLC,Influencer,Clay-Dough,16757490,91855,6860,84995,2022-06-15
1075,Pinterest Inc,Brand Publicity,GI-Bro,71332051,91816,56438,35378,2022-04-17
4237,The Martingale Agency,Brand Publicity,Space Wars,29763808,91814,38835,52979,2022-06-14
3357,Nintendo Technologies,Media Supported Asset,Clay-Dough,72304593,91785,74895,16890,2022-03-09
1167,Google Inc.,Brand Asset Development,GI-Bro,54285684,91783,4108,87675,2022-12-03
3638,Meta Platforms,Brand Asset Development,GI-Bro,44241711,91770,23477,68293,2022-10-23
119,The Martingale Agency,E-Commerce,Merf,49018425,91753,35935,55818,2022-08-20
2463,KYG Antler LLC,E-Commerce,Merf,70224743,91750,32655,59095,2022-10-25
1739,Nintendo Technologies,E-Commerce,Space Wars,37981909,91750,61260,30490,2022-08-15
624,Nintendo Technologies,Brand Asset Development,Merf,27970747,91717,151,91566,2022-11-30
1982,Pinterest Inc,Influencer,Clay-Dough,88858563,91666,47047,44619,2022-08-14
4496,KYG Antler LLC,Brand Publicity,Transmorphers,20841837,91626,87800,3826,2022-05-26
493,The Martingale Agency,Influencer,Space Wars,21837725,91616,1076,90540,2022-06-27
349,Disney Studios,E-Commerce,Clay-Dough,47685836,91605,32036,59569,2022-07-12
1479,The Martingale Agency,E-Commerce,GI-Bro,44589273,91579,60644,30935,2022-05-19
311,KYG Antler LLC,Brand Publicity,GI-Bro,67819539,91574,41484,50090,2022-02-06
2292,Pinterest Inc,E-Commerce,Space Wars,84804919,91558,62193,29365,2022-06-19
1622,KYG Antler LLC,E-Commerce,Space Wars,24548238,91555,82465,9090,2022-06-23
4924,KYG Antler LLC,Influencer,Space Wars,92977310,91535,11070,80465,2022-10-16
556,Google Inc.,Media Supported Asset,Clay-Dough,71870085,91507,34420,57087,2022-04-03
3137,Nintendo Technologies,E-Commerce,Clay-Dough,14584640,91475,20722,70753,2022-12-11
2066,KYG Antler LLC,E-Commerce,Space Wars,61930111,91472,10629,80843,2022-08-23
299,TikTok Inc,Brand Publicity,Clay-Dough,27403452,91432,42597,48835,2022-09-28
3745,Disney Studios,Brand Publicity,Space Wars,45604432,91425,74037,17388,2022-02-24
4446,Meta Platforms,Media Supported Asset,Transmorphers,65222012,91381,12644,78737,2022-12-16
3324,Google Inc.,Brand Publicity,Transmorphers,89087212,91365,57853,33512,2022-09-30
4845,KYG Antler LLC,Influencer,GI-Bro,94638400,91364,30338,61026,2022-10-26
